"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 07 22:30:59 GMT 2025","Tue Oct 07 22:31:00 GMT 2025","714","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","getAllBookingIds","getAllBookingIds()",""
"passed","Tue Oct 07 22:30:52 GMT 2025","Tue Oct 07 22:30:53 GMT 2025","489","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","createNewBooking","createNewBooking(String, String, int, boolean, String, String, String) [1] Jim, Brown, 111, true, 2023-01-01, 2023-01-02, Breakfast",""
"passed","Tue Oct 07 22:30:53 GMT 2025","Tue Oct 07 22:30:54 GMT 2025","425","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","createNewBooking","createNewBooking(String, String, int, boolean, String, String, String) [3] Tom, White, 333, true, 2023-07-20, 2023-07-25, None",""
"passed","Tue Oct 07 22:30:56 GMT 2025","Tue Oct 07 22:30:57 GMT 2025","1165","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","updateBooking_withValidToken_shouldSucceed","updateBooking_withValidToken_shouldSucceed(String, String, int, boolean, String, String, String) [3] Tom, White, 333, true, 2023-07-20, 2023-07-25, None",""
"passed","Tue Oct 07 22:30:59 GMT 2025","Tue Oct 07 22:30:59 GMT 2025","777","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","getBookingById_shouldReturnBookingDetails","getBookingById_shouldReturnBookingDetails()",""
"passed","Tue Oct 07 22:30:51 GMT 2025","Tue Oct 07 22:30:52 GMT 2025","732","","com.example.restassured.tests.RestfulBookerNegativeTests","","com.example.restassured.tests.RestfulBookerNegativeTests","updateBooking_withoutToken_shouldFail","updateBooking_withoutToken_shouldFail()",""
"failed","Tue Oct 07 22:30:48 GMT 2025","Tue Oct 07 22:30:49 GMT 2025","399","","com.example.restassured.tests.RestfulBookerNegativeTests","","com.example.restassured.tests.RestfulBookerNegativeTests","createNewBooking_withMissingField_shouldFail","createNewBooking_withMissingField_shouldFail()",""
"passed","Tue Oct 07 22:30:49 GMT 2025","Tue Oct 07 22:30:50 GMT 2025","1780","","com.example.restassured.tests.RestfulBookerNegativeTests","","com.example.restassured.tests.RestfulBookerNegativeTests","testGetBookingInvalidSchemaJSON_shouldFail","testGetBookingInvalidSchemaJSON_shouldFail()",""
"failed","Tue Oct 07 22:30:46 GMT 2025","Tue Oct 07 22:30:48 GMT 2025","2270","","com.example.restassured.tests.RestfulBookerNegativeTests","","com.example.restassured.tests.RestfulBookerNegativeTests","createNewBooking_withInvalidType_shouldFail","createNewBooking_withInvalidType_shouldFail()",""
"passed","Tue Oct 07 22:30:57 GMT 2025","Tue Oct 07 22:30:59 GMT 2025","1430","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","deleteBooking_withValidToken_shouldSucceed","deleteBooking_withValidToken_shouldSucceed()",""
"passed","Tue Oct 07 22:31:00 GMT 2025","Tue Oct 07 22:31:01 GMT 2025","714","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","testGetBookingSchemaJSON","testGetBookingSchemaJSON()",""
"passed","Tue Oct 07 22:30:50 GMT 2025","Tue Oct 07 22:30:51 GMT 2025","363","","com.example.restassured.tests.RestfulBookerNegativeTests","","com.example.restassured.tests.RestfulBookerNegativeTests","getBookingByInvalidId_shouldFail","getBookingByInvalidId_shouldFail()",""
"passed","Tue Oct 07 22:30:53 GMT 2025","Tue Oct 07 22:30:53 GMT 2025","441","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","createNewBooking","createNewBooking(String, String, int, boolean, String, String, String) [2] Sarah, Smith, 222, false, 2023-05-10, 2023-05-15, Lunch",""
"passed","Tue Oct 07 22:30:52 GMT 2025","Tue Oct 07 22:30:52 GMT 2025","747","","com.example.restassured.tests.RestfulBookerNegativeTests","","com.example.restassured.tests.RestfulBookerNegativeTests","deleteBooking_withInvalidId_shouldFail","deleteBooking_withInvalidId_shouldFail()",""
"passed","Tue Oct 07 22:30:55 GMT 2025","Tue Oct 07 22:30:56 GMT 2025","1140","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","updateBooking_withValidToken_shouldSucceed","updateBooking_withValidToken_shouldSucceed(String, String, int, boolean, String, String, String) [2] Sarah, Smith, 222, false, 2023-05-10, 2023-05-15, Lunch",""
"passed","Tue Oct 07 22:30:54 GMT 2025","Tue Oct 07 22:30:55 GMT 2025","1168","","com.example.restassured.tests.RestfulBookerTests","","com.example.restassured.tests.RestfulBookerTests","updateBooking_withValidToken_shouldSucceed","updateBooking_withValidToken_shouldSucceed(String, String, int, boolean, String, String, String) [1] Jim, Brown, 111, true, 2023-01-01, 2023-01-02, Breakfast",""
